category,question,answer,source_type,source,disclaimer,last_updated
General,What is ESI?,"ESI is the École nationale Supérieure d’Informatique, a national higher school of computer science in Algiers, Algeria. It trains State Engineers in Informatics.",Official ESI information,ESI official website / ESI Talents,,
General,Where is ESI located?,"ESI is located in Oued Smar, Algiers, Algeria. The official site lists BPM68 16270, Oued Smar, Alger.",Official ESI information,ESI official website / ESI Talents,,
General,What does ESI stand for?,ESI stands for École nationale Supérieure d’Informatique.,Official ESI information,ESI official website / ESI Talents,,
General,When was ESI created?,The school was created in 1969 under the name Centre d’Études et de Recherche en Informatique (CERI). It became a national higher school under the name ESI in 2008.,Official ESI information,ESI official website / ESI Talents,,
General,Is ESI a public school?,Yes. ESI is a national higher school affiliated with Algeria's Ministry of Higher Education and Scientific Research.,Official ESI information,ESI official website / ESI Talents,,
General,What degree does ESI offer?,ESI's graduation program trains students to become State Engineers in Informatics.,Official ESI information,ESI official website / ESI Talents,,
Studies,How long are studies at ESI?,The engineering education at ESI is organized over five years: two years of preparatory classes followed by three years in the second cycle.,Official ESI information,ESI official website / ESI Talents,,
Studies,What are the first two years at ESI?,"The first two years are preparatory classes (Classes Préparatoires, CP), where students acquire fundamental scientific and technical knowledge.",Official ESI information,ESI official website / ESI Talents,,
Studies,What happens after the two preparatory years?,"Students access the second cycle. The first year of the second cycle is a common-core year, followed by two years in a chosen specialization.",Official ESI information,ESI official website / ESI Talents,,
Studies,Is there a competition to access the second cycle?,"Yes. Access to the second cycle is subject to the applicable admission procedure and competition rules. The exact conditions can change each year, so students should check the official ESI announcements.",Official ESI information,ESI official website / ESI Talents,,
Studies,How many years is the second cycle?,The second cycle lasts three years: one common-core year and two years of specialization.,Official ESI information,ESI official website / ESI Talents,,
Studies,What are the current ESI engineering specializations?,"The official ESI education page currently lists four second-cycle specializations: Systèmes Informatiques (SIQ), Systèmes d’Information et Technologies (SIT), Systèmes Informatiques et Logiciels (SIL), and Systèmes Intelligents et Données (SID).",Official ESI information,ESI official website / ESI Talents,,
Studies,What is SIQ at ESI?,"SIQ means Systèmes Informatiques, one of the engineering specializations offered in ESI's second cycle.",Official ESI information,ESI official website / ESI Talents,,
Studies,What is SIT at ESI?,"SIT means Systèmes d’Information et Technologies, one of the engineering specializations offered in ESI's second cycle.",Official ESI information,ESI official website / ESI Talents,,
Studies,What is SIL at ESI?,"SIL means Systèmes Informatiques et Logiciels, one of the engineering specializations offered in ESI's second cycle.",Official ESI information,ESI official website / ESI Talents,,
Studies,What is SID at ESI?,"SID means Systèmes Intelligents et Données, one of the engineering specializations offered in ESI's second cycle.",Official ESI information,ESI official website / ESI Talents,,
Studies,When do students choose their specialization?,"Students choose their specialization after the first year of the second cycle, according to the applicable ranking and the number of places available in each specialization.",Official ESI information,ESI official website / ESI Talents,,
Programs,Where can I find the ESI course catalog?,"The ESI Talents platform provides a catalog of subjects and programs, with filters for level, specialization, field of knowledge, and keywords.",Official ESI information,ESI official website / ESI Talents,,
Programs,Does ESI have a program for first-year preparatory students?,Yes. The ESI Talents platform lists a 1CP program for first-year Classes Préparatoires.,Official ESI information,ESI official website / ESI Talents,,
Programs,Does ESI have a program for second-year preparatory students?,Yes. The ESI Talents platform lists a 2CP program for second-year Classes Préparatoires.,Official ESI information,ESI official website / ESI Talents,,
Programs,Does ESI offer internships?,Yes. The official ESI presentation mentions an industrial internship at the end of the first preparatory year and a mandatory summer company internship of four to six weeks during the first year of the second cycle.,Official ESI information,ESI official website / ESI Talents,,
Admission,How can I be admitted to ESI?,Admission routes and conditions depend on the program and the year. Applicants should consult the official ESI website and the current Ministry of Higher Education rules for the applicable admission conditions.,Official ESI information,ESI official website / ESI Talents,,
Admission,Can students from other universities apply to the ESI second cycle?,"Under the applicable competition rules, the second-cycle entrance competition can be open to students from other higher schools, universities, and university centers in the same field, subject to eligibility conditions.",Official ESI information,ESI official website / ESI Talents,,
Admission,What documents may be required for the 2026 second-cycle entrance competition?,"For the 2026 session, ESI lists a registration form, a copy of the baccalaureate transcript, academic transcripts, a ranking certificate, and a certificate of good conduct. Requirements can change by session.",Official ESI information,ESI official website / ESI Talents,,
Admission,When is the 2026 ESI second-cycle entrance exam?,"The official ESI announcement states that the 2026 second-cycle entrance exam is scheduled for Tuesday, July 7, 2026.",Official ESI information,ESI official website / ESI Talents,,
Research,Does ESI have research laboratories?,Yes. ESI has research organizations including LMCS (Laboratoire de Méthodes de Conception de Systèmes) and LCSI (Laboratoire de la Communication dans les Systèmes Informatiques).,Official ESI information,ESI official website / ESI Talents,,
Research,Where can I find ESI research teams?,The ESI Talents platform has a public section listing research teams and their members.,Official ESI information,ESI official website / ESI Talents,,
Research,What research teams are listed on ESI Talents?,"The ESI Talents page lists teams including BDA (Bases de données avancées), CIW (Collaboration Intelligence Web), DYD (Distribution dynamique de données), IMAPI (IMage Processing and Interpretation), MA (Mathématiques appliquées), PI (Processus Intelligents), SES (Smart Embedded Systems), SOPROS (Smart Optimisation techniques for PROblems Soving), and TELIS (Technology Enhanced Learning).",Official ESI information,ESI official website / ESI Talents,,
Research,What is the BDA research team?,BDA stands for Bases de données avancées. The ESI Talents page lists it under LCSI and identifies Walid Khaled HIDOUCI as its responsible researcher.,Official ESI information,ESI official website / ESI Talents,,
Research,What is the IMAPI research team?,IMAPI stands for IMage Processing and Interpretation. The ESI Talents page lists it under LMCS and identifies Adel KERMI as its responsible researcher.,Official ESI information,ESI official website / ESI Talents,,
Research,What is the PI research team?,PI stands for Processus Intelligents. The ESI Talents page lists it under LCSI and identifies Malik LOUDINI as its responsible researcher.,Official ESI information,ESI official website / ESI Talents,,
Research,What is the SES research team?,SES stands for Smart Embedded Systems. The ESI Talents page lists it under LMCS and identifies Mouloud KOUDIL as its responsible researcher.,Official ESI information,ESI official website / ESI Talents,,
Research,What is the SOPROS research team?,SOPROS stands for Smart Optimisation techniques for PROblems Soving. The ESI Talents page lists it under LMCS and identifies Karima BENATCHBA as its responsible researcher.,Official ESI information,ESI official website / ESI Talents,,
Research,What is the TELIS research team?,TELIS stands for Technology Enhanced Learning. The ESI Talents page lists Nabila BOUSBIA as its responsible researcher and associates the team with LMCS.,Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have student clubs?,"Yes. ESI has multiple student clubs covering technology, programming, artificial intelligence, cybersecurity, entrepreneurship, culture, charity, and environmental activities.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have a Google Developer Groups club?,Yes. The official ESI website lists a Google Developer Groups club focused on the development of technological products.,Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have an artificial intelligence club?,"Yes. The official ESI student-club page lists School of AI, whose domain is Artificial Intelligence.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have a cybersecurity club?,"Yes. ESI lists SHELLMATES, a student club focused on IT security and cybersecurity-related activities.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have a programming club?,"Yes. ESI lists Code and Share, whose domain is programming.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have a scientific club?,"Yes. ESI lists the Club Scientifique de l’ESI, focused on scientific and technological activities.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have an entrepreneurship club?,"The official student-club page lists Club Etudiants En TIC, whose domain is entrepreneurship.",Official ESI information,ESI official website / ESI Talents,,
Clubs,Does ESI have a cultural or artistic club?,"Yes. ESI lists the Club Artistique et Culturel de l’ESI, whose domain is cultural activities.",Official ESI information,ESI official website / ESI Talents,,
Student Life,How many students are at ESI?,"The official ESI presentation currently lists 1,371 graduation students, along with 86 doctoral students, 123 permanent teachers, and 164 workers.",Official ESI information,ESI official website / ESI Talents,,
Student Life,Does ESI have a library?,Yes. The official ESI website lists a library as part of the school's facilities and organization.,Official ESI information,ESI official website / ESI Talents,,
Student Life,Does ESI provide e-learning resources?,Yes. The ESI website provides an E-learning section among its online resources.,Official ESI information,ESI official website / ESI Talents,,
Talents Platform,What is ESI Talents?,"ESI Talents is an ESI platform that provides public access to information such as programs, skills, student and teacher directories, research projects, and research teams.",Official ESI information,ESI official website / ESI Talents,,
Talents Platform,Can I browse ESI research teams without logging in?,Yes. The ESI Talents research-team page is part of the platform's public space and can be explored freely.,Official ESI information,ESI official website / ESI Talents,,
Contact,How can I contact ESI?,"The official ESI website lists the school's telephone number as 023939132 and its location as Oued Smar, Algiers. For administrative questions, students should also consult the relevant official ESI announcement or service.",Official ESI information,ESI official website / ESI Talents,,
Contact,Where should I check official ESI announcements?,"The official ESI website is the best source for current announcements, admission procedures, competitions, academic information, and other official updates.",Official ESI information,ESI official website / ESI Talents,,
Student Experience,What diploma do students say they receive after graduating from ESI?,"Student comments in an ESI Facebook group mention an Ingénieur d'État and also refer to a Master 2. These are student comments, not an official ESI answer, and the exact diploma structure should be verified from the current official ESI program.",Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,Anecdotal student information; may be incomplete or outdated. Do not treat as an official ESI statement.,
Student Experience,Can a student from another university transfer to the second year at ESI?,"A student discussion in the ESI Facebook group says that transfer/admission may be possible under conditions. One response says the student must be among the top 10 of the cohort in both years, but this is only a student-reported answer and should not be treated as an official admission rule.",Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,Student-reported condition; verify current eligibility and ranking requirements with the official ESI administration.,
Student Experience,"For transfer to ESI, do I need to be among the top 10 students?",A student in the Facebook discussion stated that the applicant should be among the top 10 in both academic years. This is an anecdotal response from a student and not an official ESI admission decision.,Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,Anecdotal; admission conditions can change and must be confirmed officially.,
Student Experience,Where can ESI students find past exams?,"In a Facebook-group discussion, a student suggested the CSE Club platform (tresor.cse.club) for finding past exams. This is a student/community recommendation, not an official ESI resource.",Student experience — not official,ESI ALGER Facebook group screenshot supplied by user; CSE Club,Community recommendation; availability of files and access can change.,
Student Experience,Are courses at ESI mandatory?,One student answered 'Non' when asked whether ESI courses are mandatory. This is only one student's response and should not be interpreted as the official attendance policy of ESI.,Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,"Single student response; attendance requirements may differ by course, activity, or academic year.",
Student Experience,Are ESI courses compulsory to attend?,"A student in the Facebook group said that courses are not compulsory, but this is an individual student experience rather than an official policy.",Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,Anecdotal information; verify the current attendance rules with ESI.,
Student Experience,What is the student opinion about attendance at ESI?,"At least one student in the Facebook group reported that regular courses were not compulsory. Because this is community feedback rather than an official regulation, the chatbot should present it as a student opinion.",Student experience — not official,ESI ALGER Facebook group screenshot supplied by user,Not an official ESI statement.,
Student Resources,Is there a platform where ESI students can find previous exams?,"A Facebook-group reply recommends tresor.cse.club, associated with the CSE Club, as a place to find previous exams.",Student/community resource — not official,ESI ALGER Facebook group screenshot supplied by user,Community-provided resource; not presented as an official ESI platform.,
Clubs,Where can I find ESI's Google Developer Groups club online?,The user-provided Instagram page for GDG Algiers is https://www.instagram.com/gdg_algiers/.,Club social page — user-provided,Instagram: GDG Algiers,Social-media page; club activity and links can change.,
